protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,metric_id,statistic,value,unit,status
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,a4,max,0.15618180960502304,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,a4,median,0.12247419121435522,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,a4,min,0.11583781183753011,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,edgeRatio30,max,1.106280193236715,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,edgeRatio30,median,1.0908455625436757,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,edgeRatio30,min,0.9293913796837774,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,hotspot50,cv,1.2640534447210336,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,hotspot50,max,46.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,hotspot50,p99,39.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,neighbors10,value,2.3955555555555557,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,proximity16,value,0.9708888888888889,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,proximity24,value,0.9966666666666667,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,proximity8,value,0.7177777777777777,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,max.max,208.51778385695874,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,max.median,205.45111724607034,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,max.min,205.14957497792403,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,p50.max,123.22271391722018,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,p50.median,119.94440089761572,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,p50.min,116.60080549687086,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,p95.max,182.0953612584733,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,p95.median,179.3770088250291,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,p95.min,176.15562711675466,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,p99.max,196.41065840562115,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,p99.median,193.80050385955116,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,p99.min,188.8457164718218,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,violations.max,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,violations.median,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,radius,violations.min,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,samplerFailureCount,value,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,seam300,max,0.7715097402597402,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,seam300,median,0.7440468028703323,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,,seam300,min,0.5059995644599303,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090301,a4,value,0.15618180960502304,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090301,edgeRatio30,value,1.1050855627862137,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090301,radius,max,205.15108806035377,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090301,radius,p50,116.60080549687086,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090301,radius,p95,182.0953612584733,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090301,radius,p99,196.41065840562115,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090301,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090301,seam300,value,0.7715097402597402,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090302,a4,value,0.11835272739034637,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090302,edgeRatio30,value,1.0908455625436757,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090302,radius,max,205.45111724607034,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090302,radius,p50,121.41300848487676,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090302,radius,p95,176.15562711675466,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090302,radius,p99,188.8457164718218,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090302,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090302,seam300,value,0.7214633760202646,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,a4,value,0.11583781183753011,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,edgeRatio30,value,1.106280193236715,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,radius,max,206.85892031610385,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,radius,p50,123.22271391722018,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,radius,p95,178.07143528296413,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,radius,p99,193.80050385955116,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090303,seam300,value,0.7440468028703323,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,a4,value,0.12247419121435522,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,edgeRatio30,value,1.0396988364134154,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,radius,max,208.51778385695874,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,radius,p50,119.94440089761572,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,radius,p95,179.3770088250291,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,radius,p99,193.60544388624598,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,radius,violations,0.0,count,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090304,seam300,value,0.5059995644599303,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,a4,value,0.14629971388598784,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,edgeRatio30,value,0.9293913796837774,ratio,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,radius,max,205.14957497792403,m,valid
E001-v1,tuning,A,a-square-300,tuning-grid-imbalanced-n4500,2026090305,radius,p50,117.05382730641242,m,valid
