protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,requested_count,generated_count,outer_count,inner_count,outer_area_m2,inner_area_m2,outer_share,inner_share,raw_density_ratio,observation_status,interpretation
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,,4500,4500,1585,1270,32400.0,25200.0,0.3522222222222222,0.2822222222222222,0.9706911636045493,inner-observed,descriptive-only
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090601,900,900,352,234,32400.0,25200.0,0.39111111111111113,0.26,1.1699905033238365,inner-observed,descriptive-only
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090602,900,900,299,255,32400.0,25200.0,0.3322222222222222,0.2833333333333333,0.9119825708061002,inner-observed,descriptive-only
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090603,900,900,296,261,32400.0,25200.0,0.3288888888888889,0.29,0.8820774797786294,inner-observed,descriptive-only
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090604,900,900,320,256,32400.0,25200.0,0.35555555555555557,0.28444444444444444,0.9722222222222222,inner-observed,descriptive-only
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n500-per-center,2026090605,900,900,318,264,32400.0,25200.0,0.35333333333333333,0.29333333333333333,0.9368686868686869,inner-observed,descriptive-only
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,,45000,45000,16085,12629,32400.0,25200.0,0.35744444444444445,0.2806444444444444,0.990621233316617,inner-observed,descriptive-only
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090601,9000,9000,3240,2597,32400.0,25200.0,0.36,0.28855555555555557,0.9703504043126685,inner-observed,descriptive-only
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090602,9000,9000,3230,2514,32400.0,25200.0,0.35888888888888887,0.2793333333333333,0.9992928489348537,inner-observed,descriptive-only
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090603,9000,9000,3227,2495,32400.0,25200.0,0.35855555555555557,0.2772222222222222,1.005967490536629,inner-observed,descriptive-only
E001-v2,confirmation,A,a-square-300,confirmation-grid-equal-n5000-per-center,2026090604,9000,9000,3190,2536,32400.0,25200.0,0.35444444444444445,0.2817777777777778,0.9783561163687347,inner-observed,descriptive-only
