protocol_version,phase,model_id,parameter_set_id,scenario_id,sample_seed,metric_id,statistic,value,unit,status
E001-v2,calibration,E,e-s120-gradient-p1-b040-rejection128,field-calibration-cal-41x41,,logIntensityStd,value,0.06760001935099436,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p1-b040-sir16,field-calibration-cal-41x41,,logIntensityStd,value,0.06760001935099436,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p1-b040-sir32,field-calibration-cal-41x41,,logIntensityStd,value,0.06760001935099436,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p1-b070-rejection128,field-calibration-cal-41x41,,logIntensityStd,value,0.11830003386423998,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p1-b070-sir16,field-calibration-cal-41x41,,logIntensityStd,value,0.11830003386423998,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p1-b070-sir32,field-calibration-cal-41x41,,logIntensityStd,value,0.11830003386423998,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p1-b100-rejection128,field-calibration-cal-41x41,,logIntensityStd,value,0.16900004837748606,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p1-b100-sir16,field-calibration-cal-41x41,,logIntensityStd,value,0.16900004837748606,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p1-b100-sir32,field-calibration-cal-41x41,,logIntensityStd,value,0.16900004837748606,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p2-b040-rejection128,field-calibration-cal-41x41,,logIntensityStd,value,0.07066421915354314,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p2-b040-sir16,field-calibration-cal-41x41,,logIntensityStd,value,0.07066421915354314,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p2-b040-sir32,field-calibration-cal-41x41,,logIntensityStd,value,0.07066421915354314,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p2-b070-rejection128,field-calibration-cal-41x41,,logIntensityStd,value,0.12366238351870046,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p2-b070-sir16,field-calibration-cal-41x41,,logIntensityStd,value,0.12366238351870046,ratio,valid
E001-v2,calibration,E,e-s120-gradient-p2-b070-sir32,field-calibration-cal-41x41,,logIntensityStd,value,0.12366238351870046,ratio,valid
