model_id,parameter_set_id,phase,batch_index,points,elapsed_ns,ns_per_point
D,d-s120-r300,warmup,0,100000,70672292,706.72292
D,d-s120-r300,warmup,1,100000,46095167,460.95167
D,d-s120-r300,warmup,2,100000,41341792,413.41792
D,d-s120-r300,warmup,3,100000,39436708,394.36708
D,d-s120-r300,warmup,4,100000,40683583,406.83583
D,d-s120-r300,measurement,0,100000,43309583,433.09583
D,d-s120-r300,measurement,1,100000,41679292,416.79292
D,d-s120-r300,measurement,2,100000,40850458,408.50458
D,d-s120-r300,measurement,3,100000,40935166,409.35166
D,d-s120-r300,measurement,4,100000,42309292,423.09292
D,d-s120-r300,measurement,5,100000,42125458,421.25458
D,d-s120-r300,measurement,6,100000,40509875,405.09875
D,d-s120-r300,measurement,7,100000,40475334,404.75334
D,d-s120-r300,measurement,8,100000,41791208,417.91208
D,d-s120-r300,measurement,9,100000,44797166,447.97166
