scenario,model,seed,count,p50_m,p95_m,p99_m,max_m,outside300_fraction,period300_amplitude,a4_raw,mean_proposals
single-500,D,2026090701,100,100.75481421338604,178.02245892428806,200.27020018405483,229.6675687706048,0.0,0.2727958044877261,0.05999274979101363,1.0
single-500,D,2026090702,100,102.60363871392767,183.85713548795044,216.82522284831492,242.05163501323983,0.0,0.18145614008895933,0.0654630327611384,1.0
single-500,D,2026090703,100,90.48033736947934,176.8377097487237,194.9928069720373,196.17423897469087,0.0,0.22431240744956982,0.028792430423523988,1.0
single-500,D,2026090704,100,112.02983389841938,194.8220111530445,229.16483617635026,230.7923424626585,0.0,0.13189134863617816,0.11779708473833204,1.0
single-500,D,2026090705,100,90.42586432653447,168.29830578047986,189.22521504126988,214.40726050844037,0.0,0.27809678787138986,0.19857819333055837,1.0
single-500,D,pooled,500,99.72105209231336,183.85713548795044,216.82522284831492,242.05163501323983,0.0,0.2047020437517038,0.052430903537214336,1.0
single-500,V,2026090701,100,139.95478244124308,285.90381221557334,337.76829417370953,343.28271351183884,0.04,0.11875161084788152,0.11613572433470142,1.0
single-500,V,2026090702,100,155.27089670533977,271.2091815127452,310.0717093011747,316.4310890871876,0.02,0.08829230957030909,0.11632562311934645,1.0
single-500,V,2026090703,100,142.7934163971249,270.05097962329245,322.9825688257469,326.55656007564863,0.03,0.11069316294985879,0.13490909173556698,1.0
single-500,V,2026090704,100,166.39481653783082,299.4321354233809,333.9907055610517,340.0926861296934,0.05,0.09505940064926016,0.10443918313890527,1.0
single-500,V,2026090705,100,133.5692970847521,258.5865305262632,348.63138255615394,354.92172323399205,0.03,0.11838825825177385,0.10507049012993011,1.0
single-500,V,pooled,500,145.88857094402567,282.21088152741606,333.9907055610517,354.92172323399205,0.034,0.022738850501448703,0.10554980551663586,1.0
single-500,V300,2026090701,100,106.65330087310349,192.9287146833006,231.79276812873414,236.37762956217864,0.0,0.2005782182881671,0.09240287452123379,1.94
single-500,V300,2026090702,100,103.64989240532967,192.08079145773905,227.96721864166187,240.0983703221717,0.0,0.10772674773701973,0.20602187166922903,1.78
single-500,V300,2026090703,100,116.9604777349591,206.9484289393559,229.46701642775398,249.31266274359294,0.0,0.09320488978396917,0.0355914778795846,2.0
single-500,V300,2026090704,100,88.82523673005086,187.7284556568606,214.25290276070865,220.76469032105047,0.0,0.2426356556586962,0.0014100417304420158,2.08
single-500,V300,2026090705,100,98.11404619948716,177.01915458511183,186.81538915036637,246.76096447282708,0.0,0.22292539624128524,0.043835817293735965,1.8
single-500,V300,pooled,500,103.64989240532967,192.9287146833006,229.46701642775398,249.31266274359294,0.0,0.15982753255858165,0.044531687013770284,1.92
single-5000,D,2026090701,1000,97.22632410958545,186.6654923120064,219.08245227291266,257.0602976082714,0.0,0.2124217857135365,0.025897807503758617,1.0
single-5000,D,2026090702,1000,96.48778377764614,185.36509760356716,223.923124978347,258.1869837977033,0.0,0.22960952666042886,0.04010386124253844,1.0
single-5000,D,2026090703,1000,95.11591669943323,186.4230850123951,212.86247034244494,253.94817731454089,0.0,0.25027856213699645,0.03516988915946692,1.0
single-5000,D,2026090704,1000,95.8701738922184,186.52118070403012,228.1194461229871,268.8796674878321,0.0,0.22217228493182092,0.014422943605297969,1.0
single-5000,D,2026090705,1000,95.08683582126079,190.69735340735457,220.02504018735306,267.98763329536735,0.0,0.2288380837148777,0.03923748535594659,1.0
single-5000,D,pooled,5000,96.26828913873983,187.1925388727575,221.38170667565683,268.8796674878321,0.0,0.22788686513709352,0.00487768286606202,1.0
single-5000,V,2026090701,1000,141.2667489794375,276.2624416199096,337.6237041193519,382.5815055672453,0.028,0.042115805461639635,0.06214631558360126,1.0
single-5000,V,2026090702,1000,141.99849326485986,275.0945808612507,332.073339700235,391.0077490369181,0.021,0.01877171614351721,0.06890376650026628,1.0
single-5000,V,2026090703,1000,144.34114816129764,274.8589772425246,330.46273811145403,402.948473682674,0.026,0.01783279403824301,0.030944664468130233,1.0
single-5000,V,2026090704,1000,144.89199601888663,269.64561352623736,320.4040172036296,372.96408737944944,0.021,0.02475128889749136,0.029494234283216562,1.0
single-5000,V,2026090705,1000,148.46622845764773,266.9414805771604,314.5712666233686,378.48438328106846,0.018,0.030077915203463843,0.04928456203247846,1.0
single-5000,V,pooled,5000,144.09668248132738,272.47595563124094,328.6055117380837,402.948473682674,0.0228,0.01194265779042308,0.021876236693496254,1.0
