anchor,model,n,trajectories,rms_m,p50_m,p95_m,within25_fraction,theoretical_rms_m
0,D,1,500,183.89861241020773,166.62809328981726,286.90904016850834,0.01,187.90079275545267
0,D,5,500,156.64310539518803,152.91105696023467,214.64460803505352,0.0,158.3077432838505
0,D,10,500,153.46122438881582,151.82454400210804,194.49686724336385,0.0,154.2098271570679
0,D,30,500,150.48086586230627,149.74266640402033,175.90612790466957,0.0,151.41628137006134
0,D,100,500,149.25718589995313,149.76233001185946,160.89538334555272,0.0,150.42628453558666
0,D,300,500,149.75841501197965,149.78216995159042,157.46237102980027,0.0,150.1422293240438
0,D,1000,500,150.11417393137623,150.0216321421525,154.50855344010438,0.0,150.042682953612
0,G,1,500,167.27072200869176,138.9299297148271,288.27509504925126,0.024,166.75343450174447
0,G,5,500,75.11884889088005,63.960484407847815,121.12996634700481,0.106,74.57440300549187
0,G,10,500,53.783127641053824,45.22458585416184,93.89477029670893,0.19,52.73206606812176
0,G,30,500,30.773312095589265,26.235269501255868,52.13113372318471,0.452,30.444872539355227
0,G,100,500,16.548926755642256,14.273098479264105,28.59983898616658,0.904,16.675343450174445
0,G,300,500,9.25533074918321,7.835405971355646,15.468866267477528,1.0,9.62751402978768
0,G,1000,500,5.062169104715813,4.2354889124403945,8.793288521052158,1.0,5.273206606812176
0,L,1,500,164.18647148330442,107.76454249201112,307.1703645852588,0.054,166.75343450174447
0,L,5,500,73.10542175700479,59.53006366674817,130.14901791580365,0.096,74.57440300549187
0,L,10,500,53.7760654430848,43.429778460040396,91.84032524595888,0.214,52.73206606812176
0,L,30,500,30.446560331694318,25.0404173575641,53.23327448439878,0.498,30.444872539355227
0,L,100,500,16.869762519462817,13.484580074049974,30.21599763423482,0.886,16.675343450174445
0,L,300,500,9.834284292239555,8.522859174930614,16.693416826546365,1.0,9.62751402978768
0,L,1000,500,5.2814042800900065,4.492000997425654,9.252390664535152,1.0,5.273206606812176
1,D,1,500,117.45060223400753,103.27131586899259,193.43939193707166,0.036,113.16672619691523
1,D,5,500,51.07923842736347,43.55476719439952,87.11005591475994,0.204,50.609698513481746
1,D,10,500,36.194248799902816,29.93087883966156,61.827826976532194,0.37,35.78646101268968
1,D,30,500,21.02433822271438,17.20552195713339,35.83134383761891,0.758,20.66132289902043
1,D,100,500,11.048735376540414,9.089956427787278,19.072867733630424,0.996,11.316672619691523
1,D,300,500,6.518524801745015,5.649401850816444,11.050205116085573,1.0,6.533683983309769
1,D,1000,500,3.431091918777887,2.8220076905988942,5.898291496753019,1.0,3.5786461012689674
1,G,1,500,162.5778674529718,134.7521838080217,277.4378061365266,0.016,166.75343450174447
1,G,5,500,72.57570027358797,59.395356971276996,126.52777171919257,0.104,74.57440300549187
1,G,10,500,51.36287451517205,43.27781000313826,88.34121932364992,0.2,52.73206606812176
1,G,30,500,30.472113932786797,26.442819174670618,51.918877669699405,0.464,30.444872539355227
1,G,100,500,16.824122581498223,14.430437718396874,29.682554186873617,0.886,16.675343450174445
1,G,300,500,9.662839942242549,8.084622082422937,16.288483786449618,1.0,9.62751402978768
1,G,1000,500,5.476008410732835,4.666997833499314,9.42191231259627,1.0,5.273206606812176
1,L,1,500,160.98706612912167,112.70280934286723,313.3351059518368,0.046,166.75343450174447
1,L,5,500,72.44197579080699,58.41921979721183,128.5044739671257,0.122,74.57440300549187
1,L,10,500,52.516293872269216,41.44157506180953,91.20609433841368,0.212,52.73206606812176
1,L,30,500,30.257161305434572,24.83078317621263,53.21795452955257,0.506,30.444872539355227
1,L,100,500,16.39014107179978,14.283056986492301,27.642137736031234,0.898,16.675343450174445
1,L,300,500,9.489404518747154,8.0109908997227,15.939387188054319,0.998,9.62751402978768
1,L,1000,500,5.1217376142610584,4.038188195099656,8.901491099575301,1.0,5.273206606812176
