scene,model,seed,n,rms_m,p50_m,p95_m,p99_m,max_m,outside300_fraction,period300_amplitude
stationary-5000,D,2026090701,1000,188.68566319395757,172.69548237752105,294.44693860451764,350.85023208111204,420.52954632891215,0.04,0.21401621370133142
stationary-5000,D,2026090702,1000,187.99672819205207,172.41239318835233,288.7324401221253,343.4099820507511,403.7492379963578,0.038,0.24179310813571467
stationary-5000,D,2026090703,1000,186.23749986279347,170.5671536662606,292.0425248968275,338.81406244962403,376.286425527881,0.044,0.20633202573573067
stationary-5000,D,2026090704,1000,187.05319541020964,168.81351211629482,299.14001706970976,340.84703533365854,390.2541229553822,0.05,0.220145068701372
stationary-5000,D,2026090705,1000,188.2915484313701,169.23487277161857,297.38209760545266,340.72195454399855,414.38032395820125,0.047,0.21734565155270996
stationary-5000,D,pooled,5000,187.65503498966243,170.93590335476827,295.14611521055434,343.4246997459604,420.52954632891215,0.0438,0.217293239707488
stationary-5000,G,2026090701,1000,168.85602017578307,142.1358225280065,292.8188679691844,355.76094660721026,411.67585580007614,0.041,0.07245765898079334
stationary-5000,G,2026090702,1000,165.12619173308812,134.8524119392355,290.3161389698901,347.48080536989033,431.13041946064044,0.034,0.06232905823464384
stationary-5000,G,2026090703,1000,166.63706700960253,137.74700780106772,288.12608070891804,350.73063660451254,450.78852504019727,0.042,0.045155468266550286
stationary-5000,G,2026090704,1000,172.91506337735578,140.56866831323964,302.34985272464513,360.7773749584095,488.9448488898869,0.054,0.05946716805309503
stationary-5000,G,2026090705,1000,162.62423466759725,135.4130866723418,281.7044072323526,349.9259378483936,412.0850903610509,0.036,0.06699244742540543
stationary-5000,G,pooled,5000,167.26816056348375,137.96032707224825,291.3930146531902,356.5115267366663,488.9448488898869,0.0414,0.05576774196716717
stationary-5000,L,2026090701,1000,165.9085595220653,122.34995738470602,317.29609976655365,406.0921393370399,544.2137442267308,0.066,0.17008784891323206
stationary-5000,L,2026090702,1000,162.55511124533908,111.802600993667,323.27900075848373,412.0539646387924,608.4480866270048,0.064,0.19031497057298724
