scene,schedule,hour,model,style,total,unborn,eligible,expired,alpha_sum,mean_alpha,alpha_ge_half
hotspots-4500,cohort,0,D,A,4500,0,4500,0,4500.0,1.0,4500
hotspots-4500,cohort,0,D,B,4500,0,4500,0,4500.0,1.0,4500
hotspots-4500,cohort,0,G,A,4500,0,4500,0,4500.0,1.0,4500
hotspots-4500,cohort,0,G,B,4500,0,4500,0,4500.0,1.0,4500
hotspots-4500,cohort,6,D,A,4500,0,4500,0,4107.813673929483,0.9128474830954407,4500
hotspots-4500,cohort,6,D,B,4500,0,4500,0,4107.813673929483,0.9128474830954407,4500
hotspots-4500,cohort,6,G,A,4500,0,4500,0,4107.813673929483,0.9128474830954407,4500
hotspots-4500,cohort,6,G,B,4500,0,4500,0,4107.813673929483,0.9128474830954407,4500
hotspots-4500,cohort,12,D,A,4500,0,4500,0,2555.9729526674146,0.5679939894816477,4500
hotspots-4500,cohort,12,D,B,4500,0,4500,0,2555.9729526674146,0.5679939894816477,4500
hotspots-4500,cohort,12,G,A,4500,0,4500,0,2555.9729526674146,0.5679939894816477,4500
hotspots-4500,cohort,12,G,B,4500,0,4500,0,2555.9729526674146,0.5679939894816477,4500
hotspots-4500,cohort,18,D,A,4500,0,4500,0,821.5627347858308,0.1825694966190735,0
hotspots-4500,cohort,18,D,B,4500,0,4500,0,821.5627347858308,0.1825694966190735,0
hotspots-4500,cohort,18,G,A,4500,0,4500,0,821.5627347858308,0.1825694966190735,0
hotspots-4500,cohort,18,G,B,4500,0,4500,0,821.5627347858308,0.1825694966190735,0
hotspots-4500,cohort,24,D,A,4500,0,0,4500,0.0,0.0,0
hotspots-4500,cohort,24,D,B,4500,0,0,4500,0.0,0.0,0
hotspots-4500,cohort,24,G,A,4500,0,0,4500,0.0,0.0,0
hotspots-4500,cohort,24,G,B,4500,0,0,4500,0.0,0.0,0
hotspots-4500,steady,0,D,A,4500,2263,2237,0,1235.951058737012,0.5525038259888297,1242
hotspots-4500,steady,0,D,B,4500,2263,2237,0,1235.951058737012,0.5525038259888297,1242
hotspots-4500,steady,0,G,A,4500,2263,2237,0,1235.951058737012,0.5525038259888297,1242
hotspots-4500,steady,0,G,B,4500,2263,2237,0,1235.951058737012,0.5525038259888297,1242
hotspots-4500,steady,6,D,A,4500,1709,2246,545,1231.0155511733856,0.5480924092490586,1233
hotspots-4500,steady,6,D,B,4500,1709,2246,545,1231.0155511733856,0.5480924092490586,1233
hotspots-4500,steady,6,G,A,4500,1709,2246,545,1231.0155511733856,0.5480924092490586,1233
hotspots-4500,steady,6,G,B,4500,1709,2246,545,1231.0155511733856,0.5480924092490586,1233
hotspots-4500,steady,12,D,A,4500,1141,2275,1084,1230.796326209275,0.5410093741579232,1231
hotspots-4500,steady,12,D,B,4500,1141,2275,1084,1230.796326209275,0.5410093741579232,1231
hotspots-4500,steady,12,G,A,4500,1141,2275,1084,1230.796326209275,0.5410093741579232,1231
hotspots-4500,steady,12,G,B,4500,1141,2275,1084,1230.796326209275,0.5410093741579232,1231
hotspots-4500,steady,18,D,A,4500,576,2268,1656,1224.349747177511,0.5398367491964334,1227
hotspots-4500,steady,18,D,B,4500,576,2268,1656,1224.349747177511,0.5398367491964334,1227
hotspots-4500,steady,18,G,A,4500,576,2268,1656,1224.349747177511,0.5398367491964334,1227
hotspots-4500,steady,18,G,B,4500,576,2268,1656,1224.349747177511,0.5398367491964334,1227
hotspots-4500,steady,24,D,A,4500,0,2263,2237,1234.6786410975449,0.545593743304262,1220
hotspots-4500,steady,24,D,B,4500,0,2263,2237,1234.6786410975449,0.545593743304262,1220
hotspots-4500,steady,24,G,A,4500,0,2263,2237,1234.6786410975449,0.545593743304262,1220
hotspots-4500,steady,24,G,B,4500,0,2263,2237,1234.6786410975449,0.545593743304262,1220
hotspots-45000,cohort,0,D,A,45000,0,45000,0,45000.0,1.0,45000
hotspots-45000,cohort,0,D,B,45000,0,45000,0,45000.0,1.0,45000
hotspots-45000,cohort,0,G,A,45000,0,45000,0,45000.0,1.0,45000
hotspots-45000,cohort,0,G,B,45000,0,45000,0,45000.0,1.0,45000
hotspots-45000,cohort,6,D,A,45000,0,45000,0,41078.13673926025,0.9128474830946722,45000
hotspots-45000,cohort,6,D,B,45000,0,45000,0,41078.13673926025,0.9128474830946722,45000
hotspots-45000,cohort,6,G,A,45000,0,45000,0,41078.13673926025,0.9128474830946722,45000
hotspots-45000,cohort,6,G,B,45000,0,45000,0,41078.13673926025,0.9128474830946722,45000
hotspots-45000,cohort,12,D,A,45000,0,45000,0,25559.729526646577,0.5679939894810351,45000
