scene,mode,n,mean_error_m,rms_error_m,max_error_m,outside300_fraction
stationary-5000,1,5000,198.77231473082622,210.96599164072967,299.99674102453383,0.0
stationary-5000,2,5000,271.4845188610137,299.8257979638039,588.1587190693581,0.4152
stationary-5000,3,5000,172.94374527097156,187.65503498966243,420.52954632891215,0.0438
hotspots-4500,1,4500,198.87172151372752,211.48697330408035,299.95900539728086,0.0
hotspots-4500,2,4500,271.5828236550085,300.3502259913729,584.3632238319485,0.4126666666666667
hotspots-4500,3,4500,145.7527034546908,161.63142831982933,376.5021882437005,0.020888888888888887
hotspots-45000,1,45000,199.4593871861416,211.56422435242098,299.999294029664,0.0
hotspots-45000,2,45000,270.82762866534017,298.993652178782,592.5885805580441,0.4083111111111111
hotspots-45000,3,45000,145.63491405540518,161.8487880267885,414.6078021782532,0.02091111111111111
uniform-45000,1,45000,200.35716581700515,212.4116115321655,299.9977660271644,0.0
uniform-45000,2,45000,270.9957365520932,299.41064646621686,592.6047538950744,0.4092222222222222
uniform-45000,3,45000,150.03856609756883,166.3956585070931,431.9841326144899,0.025466666666666665
